ime,letnica rojstva
aage-justesen,1918
abraham-hardy,1910
adelhajda-mroske,1944
adelia-marra,1979
adne-sondral,1971
adolf-fredrik-van-der-scheer,1909
adriana-visser,1961
aihua-xing,1978
ake-ekman,1912
ake-seyffarth,1919
aki-tonoike,1979
akiko-aruga,1945
akira-kuroiwa,1961
akos-elefky,1923
alan-francis-luke,1959
albert-hassler,1903
alberts-rumba,1892
aleksandr-golubev,1972
aleksandr-kertchenko,1946
aleksandr-kibalko,1973
aleksandr-klimov,1965
aleksandr-lebedev,1987
aleksandr-safronov,1952
aleksandr-zhigin,1986
aleksey-belyayev,1985
aleksey-khatylyov,1983
aleksey-suvorov,1991
aleksey-yesin,1987
alessandro-de-taddei,1971
alexander-baumgaertel,1972
alexander-edminston-connell,1930
alexander-mitt,1903
alexander-rumyantsev,1986
alexej-baumgaertner,1988
alexey-proshin,1974
alexis-contin,1986
alf-rekstad,1951
alfred-altenburger,1923
alfred-george-broadhurst,1927
alie-boorsma,1959
alla-butova,1950
alla-shabanova,1982
alv-gjestvang,1937
amanda-jane-horsepool,1959
amy-sannes,1977
anatoli-medennikov,1958
andre-hoffmann,1961
andrea-ehrig,1960
andrea-giovannini,1993
andrea-jakab,1981
andrea-nuyt,1974
andreas-dietel,1959
andreas-ehrig,1959
andreas-lemcke,1959
andrei-bakhvalov,1963
andrei-bobrov,1964
andrei-erdelyi,1955
andrew-barron,1951
andrew-nicholson,1961
andrey-anufriyenko,1970
andrey-fomin,1977
andrey-krivosheyev,1970
andrey-malikov,1954
angela-hauck,1965
angela-zuckerman,1965
anja-mischke,1967
anke-baier-loef,1972
anna-chernova,1992
anna-natalia-rokita,1986
anna-ringsred,1984
anna-sablina,1945
anna-savelieva,1977
annamarie-thomas,1971
anne-henning,1955
anneli-repola,1954
annette-bjelkevik,1978
annette-gerritsen,1985
annette-karlsson,1956
anni-friesinger,1977
annie-borckink,1951
annie-driscoll,1978
annouk-van-der-weijden,1986
antero-ojala,1916
anthony-bullen,1931
antoinette-de-jong,1995
anton-huiskes,1928
antonio-nitto,1938
ants-antson,1938
anzhelika-gavrilova,1978
anzhelika-kotyuga,1970
archibald-marshall,1952
ard-schenk,1944
ariane-loignon,1965
arie-loef,1969
arja-kantola,1949
arjan-schreuder,1972
arjen-van-de-kieft,1985
armand-henning-carlsen,1905
arne-dankers,1980
arne-herjeaunet,1945
arne-johansen,1927
arnulf-sunde,1951
arthur-francis-seaman,1923
arthur-mannsbarth,1930
arthur-vollstedt,1892
artur-szafranski,1971
artyom-detyshev,1978
arvids-lejnieks,1912
asser-wallenius,1902
atje-deelstra,1938
atle-vaarvik,1965
axel-blomqvist,1894
axel-johansson,1910
ayaka-kikuchi,1987
bae-young-jeong,1976
bajro-cenanovic,1968
barbara-de-loor,1974
barbara-lockhart,1941
bart-swings,1991
bart-veldkamp,1967
becky-sundstrom,1976
behudin-merdovic,1961
beixing-wang,1985
bengt-malmsten,1922
benjamin-mace,1989
benoit-lamarche,1966
bente-kraus,1989
beorn-nijenhuis,1984
berend-schabus,1957
berndt-stephan-blaisse,1911
bernt-evensen,1905
bernt-jansson,1950
bert-de-jong,1955
berta-kolokoltseva,1937
bertel-backmann,1905
bertil-eng,1930
beth-heiden,1959
beverly-buhr,1941
bibija-kerla,1959
birger-wasenius,1911
bo-karenus,1937
bo-ollander,1943
bo-reum-kim,1993
bo-ra-lee,1986
bob-johannes-carolus-de-jong,1976
bohumil-jauris,1933
bok-soon-kim,1950
bonnie-blair,1964
boris-gulayev,1941
boris-repnine,1962
boris-shilkov,1927
boris-stenin,1935
boris-tsybin,1928
boris-yakimov,1932
brenda-webster,1961
brendan-eppert,1970
brian-hansen,1972
brian-wanek,1967
brianne-tutt,1992
brigitte-flierl,1956
brigitte-reichert,1946
brigt-rykkje,1975
brittany-bowe,1988
brittany-schussler,1985
bronislav-snetkov,1967
bruce-peppin,1924
bruno-milesi,1965
bruno-toniolli,1943
bryan-carbis,1961
bujiin-jalbaa,1943
carien-kleibeuker,1978
carl-verheijen,1975
carl-erik-asplund,1923
carla-zijlstra,1969
carlo-calza,1931
carolina-geijssen,1947
caroline-maheux,1969
casey-fitzrandolph,1975
catherine-grage,1976
catherine-raney-norman,1980
cathy-priestner,1956
catriona-le-may-doan,1970
cedric-kuentz,1973
cerasela-hordobetiu,1968
chad-hedrick,1977
chang-hae-kim,1968
chang-suk-chong,1974
changyu-li,1983
chantal-bailey,1965
chantal-cote,1964
charles-de-ligne,1895
charles-gilmore,1950
charles-jewtraw,1900
charles-mathisen,1911
charles-ryan-leveille-cox,1983
charles-william-burke,1930
chen-song,1967
cheng-jiang-guo,1955
cheol-min-kim,1992
chiara-simionato,1975
chieko-ito,1954
chiharu-nozaki,1973
ching-yang-sung,1992
chong-soon-kim,1931
choon-bong-kim,1941
choon-za-ryoo,1943
christa-jaarsma,1952
christian-breuer,1976
christian-eminger,1964
christina-karlsson,1946
christina-scherling,1940
christine-aaftink,1966
christine-nesbitt,1985
christine-scheels,1977
christine-witty,1975
christoffer-fagerli-rukke,1988
christopher-shelley,1963
chun-wol-kim,1974
chun-ok-han,1965
chung-kook-lee,1921
chunyan-fu,1989
chunyuan-yang,1973
cindy-klassen,1979
cindy-overland,1976
cindy-seikkula,1958
claes-hakan-bengtsson,1959
clara-hughes,1972
clark-king,1949
clas-thunberg,1893
claude-nicouleau,1961
claudia-pechstein,1972
claudiu-grozea,1982
colin-hickey,1931
colin-victor-coates,1951
connie-carpenter,1957
connie-paraskevin-young,1961
cornelia-harrington,1943
cornelia-jacob,1960
cornelis-broekman,1927
cornelis-pieter-van-der-elst,1928
cornelis-verkerk,1942
craig-albert-mcnicol,1971
craig-kressler,1961
craig-mackay,1927
craig-webster,1957
csaba-madarasz,1968
cyril-walter-horn,1904
dag-fornaess,1948
daichi-yamanaka,1990
dan-johansson,1950
dan-li,1988
daniel-friberg,1989
daniel-greig,1991
daniel-immerfall,1955
daniel-jansen,1965
daniel-joseph-carroll,1949
daniel-turcotte,1962
daniela-anschuetz,1974
daniela-oltean,1980
danny-kah,1967
dave-cruikshank,1969
david-andersson,1994
david-besteman,1963
david-george-bodington,1947
david-hampton,1947
david-kramar,1979
david-tamburrino,1972
david-william-silk,1965
delbert-thomas-lamb,1914
dengwen-dai,1976
denis-kuzin,1988
denis-yuskov,1989
dennis-blundell,1921
denny-morrison,1985
derek-parra,1970
dezideriu-horvath,1970
dezideriu-szillard-jenei,1960
diane-valkenburg,1984
dianne-holum,1951
dino-gillarduzzi,1975
dmitry-babenko,1985
dmitry-dorofeyev,1976
dmitry-lobkov,1981
dmitry-shepel,1978
do-yeong-park,1993
donald-mcdermott,1929
dong-ok-choi,1950
doreen-mccannell,1947
doreen-ryan,1931
dubravka-vukusic,1965
dustin-molicki,1975
eddy-verheyen,1946
eduard-matusevich,1937
edward-julius-schroeder,1911
edward-murphy,1905
edward-roy-tutty,1929
edward-wangberg,1913
edwin-wedge,1911
eevi-huttunen,1922
ekaterina-shikhova,1985
elena-belci,1964
elio-locatelli,1943
elisabeth-van-den-brom,1949
elisabetta-pizio,1971
elizabeth-appleby,1958
elke-felicetti,1970
elli-ochowicz,1983
elma-de-vries,1983
elsa-einarsson,1941
else-ragni-yttredal,1968
elwira-seroczynska,1931
emery-lehman,1996
emese-doerfler-antal,1971
emese-hunyady,1966
emiko-taguchi,1951
emmanuel-michon,1955
enrico-fabris,1981
enrico-musolino,1928
erben-wennemars,1975
erhard-keller,1944
erhard-mayke,1896
eri-natori,1985
eric-brisson,1973
eric-flaim,1967
eric-heiden,1958
eric-zachrisson,1980
erich-korbel,1941
erich-kull,1932
erik-blomgren,1893
erik-henriksen,1958
erika-heinicke,1939
eriko-ishino,1985
eriko-sanmiya,1974
eriko-seo,1979
erling-lindboe,1906
ermanno-ioriatti,1975
ernst-biel,1934
erroll-claude-fraser,1950
erwina-rys,1955
esa-puolakka,1958
eskil-ervik,1975
espen-hvammen,1988
eugene-myron-sandvig,1931
even-wetten,1982
evi-sappl,1947
ewa-malewicka,1955
ewa-wasilewska,1967
ewen-fernandez,1989
falko-zandstra,1971
fausto-marreiros,1966
fedor-mezentsev,1989
fei-wang,1963
fei-fan-wang,1958
fengtong-yu,1984
ferdinand-preindl,1912
fernando-alloni,1925
finn-einar-hodt,1919
finn-helgesen,1919
floriano-martello,1952
floyd-curtis-bedbury,1937
francesca-lollobrigida,1991
frank-dittrich,1967
frank-stack,1906
franz-offenberger,1931
franz-ortner,1905
franziska-schenk,1974
fred-anton-maier,1938
fredrik-van-der-horst,1989
frithjof-paulsen,1895
fritz-moser,1901
fritz-schalij,1957
frode-syvertsen,1963
fumie-hama,1939
fumio-nagakubo,1937
gabi-zange,1961
gabriele-hirschbichler,1983
gaetan-boucher,1958
galina-likhachova,1977
galina-stepanskaya,1949
gary-jonland,1952
gaston-van-hazebroeck,1905
gayle-gordon,1955
gedeon-ladanji,1914
geert-kuiper,1960
geir-karlstad,1963
geoffrey-sandys,1951
geoffrey-stockdale,1944
georg-krog,1946
george-kenneth-kennedy,1913
gerard-cassan,1954
gerard-kemkers,1967
gerard-van-velde,1971
gerardus-maarse,1929
gerhard-strutz,1943
gerhard-zimmermann,1942
giancarlo-gloder,1945
gianni-romme,1973
gilbert-van-eesbeeck,1952
giorgio-cattaneo,1923
giorgio-paganin,1962
giovanni-paganin,1955
giovanni-panciera,1954
gisela-toews,1940
gordon-audley,1928
gordon-goplen,1964
gregor-jelonek,1968
gregory-lyman,1950
gretha-smit,1976
guangbin-liu,1979
gui-fang-wang,1962
gui-feng-cao,1960
